Classes;Orders;Species;0A;0B;1A;1B;2A;2B;3A;3B;4A;4B;5A;5B;6A;6B;7A;7B;8A;8B;9A;9B;10A;10B;11A;11B;12A;12B;13A;13B;14A;14B;15A;15B;16A;16B;17A;17B;18A;18B;19A;19B;20A;20B;21A;21B;22A;22B;23A;23B;24A;24B;25A;25B;26A;26B;27A;27B;28A;28B;29A;29B;30A;30B;31A;31B;32A;32B;33A;33B;34A;34B;35A;35B;36A;36B;37A;37B;38A;38B;39A;39B;40A;40B;41A;41B;42A;42B;43A;43B;44A;44B;45A;45B;46A;46B;47A;47B;48A;48B;49A;49B;50A;50B;51A;51B;52A;52B;53A;53B;54A;54B;55A;55B;56A;56B;57A;57B;58A;58B;59A;59B;60A;60B;61A;61B;62A;62B;63A;63B;64A;64B;65A;65B;66A;66B;67A;67B;68A;68B;69A;69B;70A;70B;71A;71B;72A;72B;73A;73B;74A;74B;75A;75B;76A;76B;77A;77B;78A;78B;79A;79B;80A;80B;81A;81B;82A;82B;83A;83B;84A;84B;85A;85B;86A;86B;87A;87B;88A;88B;89A;89B;90A;90B
Mammalia;Eulipotyphla;Sorex_araneus;;;ENSSARP00000012755;;ENSSARP00000009333;;;ENSSARP00000003651;;ENSSARP00000001054;;;;;;;;;ENSSARP00000008869;;ENSSARP00000011336;ENSSARP00000011824;ENSSARP00000011950;ENSSARP00000011955;ENSSARP00000004187;ENSSARP00000000116;;;;ENSSARP00000008261;ENSSARP00000007022;;ENSSARP00000006512;ENSSARP00000006504;ENSSARP00000003340;ENSSARP00000003354;;ENSSARP00000001163;ENSSARP00000011723;ENSSARP00000001632;;ENSSARP00000000290;;;;;;;;;ENSSARP00000006660;ENSSARP00000002416;ENSSARP00000002145;ENSSARP00000006698;ENSSARP00000004309;ENSSARP00000006558;ENSSARP00000010734;;;;;ENSSARP00000009659;ENSSARP00000010458;ENSSARP00000002455;ENSSARP00000005437;ENSSARP00000000620;;;;ENSSARP00000010882;ENSSARP00000012644;ENSSARP00000006454;;;;;ENSSARP00000002708;;;;ENSSARP00000012727;;;;;ENSSARP00000005010;;ENSSARP00000006409;;ENSSARP00000007780;;;;;;;ENSSARP00000012867;ENSSARP00000012878;ENSSARP00000003440;;;;ENSSARP00000000618;;;ENSSARP00000003650;;;;;ENSSARP00000013192;;;;;;;ENSSARP00000009196;;;;;;;;;;;;;;;;;;ENSSARP00000003880;;;ENSSARP00000001787;;;ENSSARP00000004386;;;;;ENSSARP00000001428;ENSSARP00000001439;ENSSARP00000005928;;;ENSSARP00000002776;;ENSSARP00000008889;ENSSARP00000001377;ENSSARP00000001473;;;;;;;;ENSSARP00000005709;;;;;;;;;;;;;;;;ENSSARP00000011780;ENSSARP00000000590;
Mammalia;Hyracoidea;Procavia_capensis;ENSPCAP00000007920;ENSPCAP00000007949;ENSPCAP00000007841;;ENSPCAP00000014986;ENSPCAP00000012679;ENSPCAP00000007718;ENSPCAP00000005449;ENSPCAP00000002506;ENSPCAP00000012157;ENSPCAP00000011282;;ENSPCAP00000000494;ENSPCAP00000003433;ENSPCAP00000004956;ENSPCAP00000003719;;ENSPCAP00000007779;;ENSPCAP00000000006;ENSPCAP00000013511;ENSPCAP00000014827;ENSPCAP00000005054;ENSPCAP00000000756;ENSPCAP00000015620;ENSPCAP00000009135;;;;ENSPCAP00000008892;ENSPCAP00000005025;ENSPCAP00000005079;ENSPCAP00000010975;ENSPCAP00000006446;ENSPCAP00000012881;;ENSPCAP00000004079;ENSPCAP00000012803;ENSPCAP00000004931;ENSPCAP00000004177;ENSPCAP00000008210;ENSPCAP00000000934;ENSPCAP00000008860;ENSPCAP00000008896;;ENSPCAP00000003565;;;;;ENSPCAP00000009505;ENSPCAP00000002646;ENSPCAP00000014392;ENSPCAP00000004743;ENSPCAP00000007709;;;;ENSPCAP00000012743;ENSPCAP00000004032;ENSPCAP00000003151;;ENSPCAP00000015710;ENSPCAP00000004357;ENSPCAP00000007535;ENSPCAP00000007544;;;;;ENSPCAP00000003556;ENSPCAP00000003667;;;;ENSPCAP00000002073;ENSPCAP00000003213;;;;ENSPCAP00000012678;ENSPCAP00000012711;;;ENSPCAP00000004954;ENSPCAP00000001855;;ENSPCAP00000013440;ENSPCAP00000012179;ENSPCAP00000014537;ENSPCAP00000015283;;;;ENSPCAP00000008381;ENSPCAP00000000603;ENSPCAP00000006176;ENSPCAP00000007974;;;;ENSPCAP00000006939;;;ENSPCAP00000000572;;;;;;ENSPCAP00000012365;;;;;;;ENSPCAP00000015958;;;;;;;;;;;;;;;;ENSPCAP00000003861;;ENSPCAP00000001608;;;ENSPCAP00000013874;ENSPCAP00000008460;ENSPCAP00000008565;;;;;;ENSPCAP00000011440;ENSPCAP00000000083;ENSPCAP00000003110;;;;ENSPCAP00000012265;;ENSPCAP00000013087;ENSPCAP00000009974;;;ENSPCAP00000011388;;;ENSPCAP00000015151;;ENSPCAP00000011249;;;;ENSPCAP00000001530;;;;;;;;;;;;;;ENSPCAP00000001524
Mammalia;Lagomorpha;Ochotona_princeps;;ENSOPRP00000002897;;;ENSOPRP00000005908;ENSOPRP00000005918;ENSOPRP00000009233;;;;;;ENSOPRP00000007628;ENSOPRP00000010638;ENSOPRP00000003617;ENSOPRP00000003633;;ENSOPRP00000015364;ENSOPRP00000007679;;ENSOPRP00000002503;ENSOPRP00000001565;ENSOPRP00000001141;ENSOPRP00000001153;ENSOPRP00000007419;ENSOPRP00000005429;;ENSOPRP00000003062;;ENSOPRP00000000749;ENSOPRP00000006166;ENSOPRP00000006172;;ENSOPRP00000014579;ENSOPRP00000012363;ENSOPRP00000012370;ENSOPRP00000002879;ENSOPRP00000007036;ENSOPRP00000012949;ENSOPRP00000012963;ENSOPRP00000001701;ENSOPRP00000015636;ENSOPRP00000006043;ENSOPRP00000006049;;;;;;ENSOPRP00000004575;ENSOPRP00000009717;ENSOPRP00000001382;ENSOPRP00000006044;ENSOPRP00000006047;ENSOPRP00000012343;;;;ENSOPRP00000009741;;ENSOPRP00000008359;;ENSOPRP00000007327;ENSOPRP00000007359;ENSOPRP00000013195;ENSOPRP00000013205;;;ENSOPRP00000008570;;ENSOPRP00000003761;ENSOPRP00000003800;;ENSOPRP00000005393;ENSOPRP00000007570;ENSOPRP00000007612;;;;;ENSOPRP00000005570;ENSOPRP00000001720;;;;ENSOPRP00000010385;;;;;ENSOPRP00000007392;;ENSOPRP00000004621;ENSOPRP00000004631;ENSOPRP00000013655;ENSOPRP00000013663;ENSOPRP00000000619;ENSOPRP00000015659;ENSOPRP00000012212;;;;;;ENSOPRP00000009430;;;;;;;;;;;;;ENSOPRP00000011706;;;;;;;;;;;ENSOPRP00000011518;;;;;ENSOPRP00000001015;;ENSOPRP00000015609;;;ENSOPRP00000015421;;ENSOPRP00000015441;ENSOPRP00000011649;;;;;ENSOPRP00000015253;ENSOPRP00000015261;ENSOPRP00000008355;;;ENSOPRP00000008354;ENSOPRP00000010948;;ENSOPRP00000003408;ENSOPRP00000003526;;;;ENSOPRP00000011255;;ENSOPRP00000002565;;ENSOPRP00000003018;;;;ENSOPRP00000007238;;;;;;;;;;;;;ENSOPRP00000003279;
Mammalia;Lagomorpha;Oryctolagus_cuniculus;ENSOCUP00000010005;ENSOCUP00000010008;ENSOCUP00000002753;;ENSOCUP00000032867;ENSOCUP00000042473;ENSOCUP00000007456;ENSOCUP00000018611;;ENSOCUP00000039013;ENSOCUP00000021685;ENSOCUP00000041767;ENSOCUP00000012347;ENSOCUP00000004059;ENSOCUP00000041461;ENSOCUP00000028962;;;ENSOCUP00000049663;ENSOCUP00000027727;ENSOCUP00000003701;ENSOCUP00000002194;ENSOCUP00000030400;ENSOCUP00000017567;ENSOCUP00000006771;ENSOCUP00000006777;ENSOCUP00000030648;ENSOCUP00000006864;ENSOCUP00000046563;ENSOCUP00000024363;ENSOCUP00000011127;ENSOCUP00000011134;ENSOCUP00000003688;ENSOCUP00000003689;ENSOCUP00000012453;ENSOCUP00000014479;ENSOCUP00000002189;ENSOCUP00000048738;ENSOCUP00000036484;ENSOCUP00000004364;ENSOCUP00000010223;ENSOCUP00000049611;ENSOCUP00000021539;ENSOCUP00000020732;;ENSOCUP00000025564;ENSOCUP00000030854;;;;ENSOCUP00000028940;ENSOCUP00000039250;ENSOCUP00000012039;ENSOCUP00000021770;ENSOCUP00000017512;ENSOCUP00000018540;ENSOCUP00000017349;ENSOCUP00000004958;ENSOCUP00000003036;ENSOCUP00000041754;ENSOCUP00000004087;;ENSOCUP00000017327;ENSOCUP00000033873;ENSOCUP00000014225;ENSOCUP00000042539;ENSOCUP00000007969;ENSOCUP00000016859;ENSOCUP00000016572;ENSOCUP00000030103;ENSOCUP00000012282;ENSOCUP00000036968;;ENSOCUP00000019201;;;ENSOCUP00000033054;;;ENSOCUP00000047546;ENSOCUP00000006064;ENSOCUP00000006067;;;;ENSOCUP00000014489;;ENSOCUP00000018966;ENSOCUP00000046381;ENSOCUP00000020080;;ENSOCUP00000020316;ENSOCUP00000002357;ENSOCUP00000015277;ENSOCUP00000045888;;ENSOCUP00000001233;ENSOCUP00000036753;ENSOCUP00000026029;ENSOCUP00000037222;;ENSOCUP00000019560;;ENSOCUP00000024652;ENSOCUP00000018156;ENSOCUP00000026071;;;;;;;;;;;;ENSOCUP00000043888;;;;;;;;;;;;;;;;;;ENSOCUP00000034396;;;ENSOCUP00000043016;ENSOCUP00000017904;ENSOCUP00000011447;;;;;;ENSOCUP00000019523;ENSOCUP00000000378;ENSOCUP00000019743;;;ENSOCUP00000041219;ENSOCUP00000028606;;;ENSOCUP00000048038;;;;ENSOCUP00000028581;;ENSOCUP00000028417;;ENSOCUP00000011458;;;;;;;;;;;;;;;;ENSOCUP00000011730;;ENSOCUP00000040754
Mammalia;Monotremata;Ornithorhynchus_anatinus;ENSOANP00000034269;ENSOANP00000049606;;;ENSOANP00000015363;ENSOANP00000054584;ENSOANP00000033943;ENSOANP00000050587;;;;;ENSOANP00000000365;;ENSOANP00000051965;;;;;ENSOANP00000022900;ENSOANP00000041259;;ENSOANP00000044917;;ENSOANP00000008659;ENSOANP00000042042;;;;ENSOANP00000049366;ENSOANP00000042101;ENSOANP00000013141;ENSOANP00000004968;;;;;ENSOANP00000053125;ENSOANP00000003219;;ENSOANP00000050560;ENSOANP00000053426;ENSOANP00000004032;ENSOANP00000004033;;;;ENSOANP00000034433;;;ENSOANP00000002567;ENSOANP00000002564;ENSOANP00000000223;;ENSOANP00000012618;ENSOANP00000012622;;;ENSOANP00000037935;ENSOANP00000006525;ENSOANP00000042409;ENSOANP00000053832;ENSOANP00000052620;ENSOANP00000034226;;ENSOANP00000010517;ENSOANP00000026416;;;ENSOANP00000050017;ENSOANP00000017496;ENSOANP00000054402;;;;;;;;;;;;;;;;ENSOANP00000035290;;;;;;;ENSOANP00000020606;;ENSOANP00000010364;ENSOANP00000010359;;ENSOANP00000025848;;;;;;;ENSOANP00000051267;;;;ENSOANP00000000624;;;;;;;ENSOANP00000014056;;;;;;;;ENSOANP00000043892;;;ENSOANP00000015845;;;;;ENSOANP00000016086;ENSOANP00000047741;ENSOANP00000005242;;ENSOANP00000049188;ENSOANP00000046982;ENSOANP00000049691;;ENSOANP00000008299;;;;ENSOANP00000046244;ENSOANP00000046645;ENSOANP00000008501;ENSOANP00000049722;;;ENSOANP00000010941;;;ENSOANP00000033786;ENSOANP00000044185;;;ENSOANP00000004273;;;ENSOANP00000018194;;ENSOANP00000019430;;;;;;ENSOANP00000044303;;;ENSOANP00000048633;ENSOANP00000036126;;;;;;ENSOANP00000044320;;
Mammalia;Perissodactyla;Equus_caballus;ENSECAP00000015604;ENSECAP00000012956;ENSECAP00000045458;;ENSECAP00000050576;ENSECAP00000037087;ENSECAP00000025158;ENSECAP00000007652;ENSECAP00000009533;ENSECAP00000042170;ENSECAP00000031652;;ENSECAP00000005925;ENSECAP00000022415;ENSECAP00000016011;ENSECAP00000021129;;ENSECAP00000022860;ENSECAP00000004745;;;ENSECAP00000053156;ENSECAP00000022547;ENSECAP00000022528;ENSECAP00000014609;ENSECAP00000025735;ENSECAP00000006432;ENSECAP00000009640;;ENSECAP00000010040;ENSECAP00000037005;ENSECAP00000032369;ENSECAP00000039926;ENSECAP00000042501;;ENSECAP00000025178;ENSECAP00000014593;ENSECAP00000019069;ENSECAP00000027609;ENSECAP00000007854;ENSECAP00000008613;ENSECAP00000012138;ENSECAP00000006793;ENSECAP00000011843;;ENSECAP00000031116;;;;ENSECAP00000041490;ENSECAP00000006574;ENSECAP00000026979;ENSECAP00000045954;ENSECAP00000006588;ENSECAP00000036796;ENSECAP00000045275;ENSECAP00000003413;ENSECAP00000000660;ENSECAP00000036138;ENSECAP00000022488;ENSECAP00000020389;ENSECAP00000020394;ENSECAP00000026697;ENSECAP00000044787;ENSECAP00000012545;ENSECAP00000013821;ENSECAP00000002376;ENSECAP00000002473;;ENSECAP00000054170;ENSECAP00000012461;ENSECAP00000007066;ENSECAP00000025732;ENSECAP00000037544;ENSECAP00000000931;ENSECAP00000020817;;;;;ENSECAP00000021185;ENSECAP00000021253;;;ENSECAP00000044702;ENSECAP00000038901;;ENSECAP00000028511;;ENSECAP00000023364;ENSECAP00000004912;;ENSECAP00000024154;ENSECAP00000009702;ENSECAP00000044610;ENSECAP00000022402;ENSECAP00000043359;ENSECAP00000001087;ENSECAP00000045100;ENSECAP00000023071;;;;ENSECAP00000032351;ENSECAP00000025441;ENSECAP00000021509;;ENSECAP00000045228;;;ENSECAP00000012243;;;ENSECAP00000008688;;;;ENSECAP00000002170;;;;;;;;;;;ENSECAP00000048064;;;;;ENSECAP00000054006;;ENSECAP00000013801;;;ENSECAP00000019248;ENSECAP00000000203;ENSECAP00000050463;;;;;;ENSECAP00000031649;ENSECAP00000015856;ENSECAP00000020261;;;ENSECAP00000003234;ENSECAP00000036111;;ENSECAP00000042966;ENSECAP00000047720;;;ENSECAP00000050797;;;ENSECAP00000031853;;ENSECAP00000022924;;;;ENSECAP00000001517;;;;;;;;;;;;ENSECAP00000042601;;
Mammalia;Pilosa;Choloepus_hoffmanni;;;ENSCHOP00000009604;;ENSCHOP00000000472;ENSCHOP00000000300;;ENSCHOP00000002310;;;;ENSCHOP00000006923;ENSCHOP00000000566;;ENSCHOP00000005793;ENSCHOP00000006773;;;;;ENSCHOP00000006530;ENSCHOP00000005921;ENSCHOP00000005952;ENSCHOP00000001289;;ENSCHOP00000005245;;;;;ENSCHOP00000008475;ENSCHOP00000008484;;ENSCHOP00000007076;;ENSCHOP00000007302;ENSCHOP00000009315;ENSCHOP00000003586;ENSCHOP00000002277;;ENSCHOP00000011182;;ENSCHOP00000012292;ENSCHOP00000012298;;;;;;;ENSCHOP00000001216;ENSCHOP00000000430;;;ENSCHOP00000003397;ENSCHOP00000011923;ENSCHOP00000001184;ENSCHOP00000004922;;;;ENSCHOP00000002560;ENSCHOP00000005095;ENSCHOP00000004891;;ENSCHOP00000000099;;;;;;;ENSCHOP00000009271;;;;;;ENSCHOP00000002345;;ENSCHOP00000001767;ENSCHOP00000001769;;;ENSCHOP00000000034;ENSCHOP00000008188;;;;ENSCHOP00000008410;;;ENSCHOP00000006465;ENSCHOP00000003214;ENSCHOP00000002406;;ENSCHOP00000007317;ENSCHOP00000003621;;;;;;;;ENSCHOP00000006883;;;;;ENSCHOP00000009816;;;;;;;ENSCHOP00000011290;;;;;;;;;;;;;;;;;;ENSCHOP00000009440;;;;;;ENSCHOP00000010090;;;;;;ENSCHOP00000009334;;;;;;;ENSCHOP00000005091;ENSCHOP00000002537;;;;;;ENSCHOP00000001647;;ENSCHOP00000006524;;;;;;;;;;;;;;;;;ENSCHOP00000006205;
Mammalia;Primates;Callithrix_jacchus;ENSCJAP00000058044;ENSCJAP00000005594;ENSCJAP00000007114;ENSCJAP00000064170;ENSCJAP00000029319;ENSCJAP00000029342;ENSCJAP00000072393;ENSCJAP00000010723;ENSCJAP00000050542;ENSCJAP00000061893;ENSCJAP00000040709;ENSCJAP00000067375;ENSCJAP00000011554;ENSCJAP00000011543;ENSCJAP00000062923;;;ENSCJAP00000020502;;ENSCJAP00000062523;ENSCJAP00000054595;ENSCJAP00000052812;ENSCJAP00000034668;ENSCJAP00000034616;ENSCJAP00000003725;ENSCJAP00000003795;ENSCJAP00000005435;;ENSCJAP00000029005;ENSCJAP00000029014;ENSCJAP00000022239;ENSCJAP00000022213;ENSCJAP00000021007;ENSCJAP00000062180;ENSCJAP00000018291;ENSCJAP00000018299;ENSCJAP00000055618;ENSCJAP00000022183;;ENSCJAP00000058791;ENSCJAP00000006133;ENSCJAP00000063157;ENSCJAP00000037809;ENSCJAP00000037816;ENSCJAP00000018748;ENSCJAP00000073269;ENSCJAP00000038023;;;ENSCJAP00000066804;ENSCJAP00000034371;ENSCJAP00000064254;ENSCJAP00000075513;ENSCJAP00000028787;ENSCJAP00000059765;ENSCJAP00000041286;ENSCJAP00000044867;ENSCJAP00000071840;ENSCJAP00000035610;ENSCJAP00000035566;ENSCJAP00000047456;;ENSCJAP00000059223;ENSCJAP00000069833;ENSCJAP00000040267;ENSCJAP00000056347;ENSCJAP00000071054;ENSCJAP00000069002;ENSCJAP00000070473;ENSCJAP00000027271;ENSCJAP00000004141;ENSCJAP00000004136;;ENSCJAP00000054192;ENSCJAP00000022417;ENSCJAP00000072863;ENSCJAP00000017356;;;ENSCJAP00000063611;ENSCJAP00000031093;ENSCJAP00000031071;;;;;ENSCJAP00000054036;ENSCJAP00000041699;;ENSCJAP00000061042;;ENSCJAP00000054677;;ENSCJAP00000038735;;ENSCJAP00000039252;ENSCJAP00000053476;ENSCJAP00000043756;ENSCJAP00000032278;ENSCJAP00000000547;;ENSCJAP00000007517;ENSCJAP00000070310;ENSCJAP00000035337;ENSCJAP00000061088;ENSCJAP00000056711;;;;;ENSCJAP00000018717;;;ENSCJAP00000076276;;;;ENSCJAP00000068499;;;;;;;;;;;ENSCJAP00000030256;;;;;ENSCJAP00000029102;;ENSCJAP00000047441;;;ENSCJAP00000070802;ENSCJAP00000017594;;ENSCJAP00000021979;;;;;ENSCJAP00000058313;ENSCJAP00000065078;ENSCJAP00000057447;;;ENSCJAP00000041308;ENSCJAP00000017453;;ENSCJAP00000077209;ENSCJAP00000013549;;;;ENSCJAP00000063049;;ENSCJAP00000022446;;ENSCJAP00000056010;;;;ENSCJAP00000004364;;;;;;;;;;;;ENSCJAP00000068891;ENSCJAP00000068698;ENSCJAP00000070949
Mammalia;Primates;Cercocebus_atys;ENSCATP00000023396;ENSCATP00000014773;ENSCATP00000030147;ENSCATP00000040098;ENSCATP00000013655;ENSCATP00000016919;ENSCATP00000037753;ENSCATP00000045477;ENSCATP00000007832;ENSCATP00000015392;ENSCATP00000029941;ENSCATP00000029782;ENSCATP00000013437;ENSCATP00000016980;ENSCATP00000010357;ENSCATP00000031115;;ENSCATP00000000853;;;ENSCATP00000027541;ENSCATP00000011320;ENSCATP00000023233;ENSCATP00000004730;ENSCATP00000029535;ENSCATP00000023431;;ENSCATP00000030769;ENSCATP00000026466;ENSCATP00000024770;ENSCATP00000041495;ENSCATP00000038887;ENSCATP00000027019;ENSCATP00000037151;ENSCATP00000019005;ENSCATP00000034310;ENSCATP00000029472;ENSCATP00000024518;ENSCATP00000043408;ENSCATP00000044386;ENSCATP00000009453;ENSCATP00000020401;ENSCATP00000001029;ENSCATP00000045734;ENSCATP00000009943;ENSCATP00000034083;ENSCATP00000003032;;ENSCATP00000003475;ENSCATP00000004208;ENSCATP00000012671;ENSCATP00000009683;;ENSCATP00000001650;;;;;ENSCATP00000041845;ENSCATP00000040293;;ENSCATP00000023608;ENSCATP00000038921;ENSCATP00000043554;ENSCATP00000027478;ENSCATP00000002818;ENSCATP00000005154;ENSCATP00000005511;;ENSCATP00000038814;ENSCATP00000023224;ENSCATP00000044866;;;ENSCATP00000036648;ENSCATP00000035892;;ENSCATP00000007387;ENSCATP00000038845;ENSCATP00000043560;ENSCATP00000044268;ENSCATP00000009335;;;;;;;;;ENSCATP00000035924;ENSCATP00000033403;ENSCATP00000022288;ENSCATP00000006094;ENSCATP00000032737;ENSCATP00000031973;ENSCATP00000009340;ENSCATP00000020054;ENSCATP00000028488;ENSCATP00000001869;;ENSCATP00000008688;ENSCATP00000032249;;ENSCATP00000038951;ENSCATP00000028124;;;;;ENSCATP00000038692;;;ENSCATP00000042440;;;;ENSCATP00000023052;;;;;;;;;;;ENSCATP00000019053;;;;;ENSCATP00000039567;;ENSCATP00000026634;;;ENSCATP00000009458;ENSCATP00000001740;;ENSCATP00000019483;;;;;ENSCATP00000041685;ENSCATP00000045286;ENSCATP00000025721;;;;ENSCATP00000042786;;ENSCATP00000006856;ENSCATP00000006455;;;ENSCATP00000005822;;;ENSCATP00000027406;;ENSCATP00000001168;;;;ENSCATP00000015395;;;;;;;;;;;;ENSCATP00000040283;;
Mammalia;Primates;Chlorocebus_sabaeus;ENSCSAP00000016854;ENSCSAP00000016853;ENSCSAP00000016818;;ENSCSAP00000016696;ENSCSAP00000016695;ENSCSAP00000016185;ENSCSAP00000016184;ENSCSAP00000015652;ENSCSAP00000015649;;;ENSCSAP00000015588;ENSCSAP00000015586;ENSCSAP00000006878;ENSCSAP00000006884;;ENSCSAP00000013732;ENSCSAP00000018294;ENSCSAP00000018295;;ENSCSAP00000002173;ENSCSAP00000013246;ENSCSAP00000013248;ENSCSAP00000012303;ENSCSAP00000012297;;ENSCSAP00000004872;ENSCSAP00000006257;ENSCSAP00000006261;ENSCSAP00000008732;ENSCSAP00000008736;ENSCSAP00000009197;ENSCSAP00000009214;ENSCSAP00000010065;ENSCSAP00000010068;ENSCSAP00000008564;ENSCSAP00000008555;ENSCSAP00000009339;ENSCSAP00000009334;ENSCSAP00000003962;ENSCSAP00000003952;ENSCSAP00000010752;ENSCSAP00000010780;ENSCSAP00000011696;ENSCSAP00000011699;ENSCSAP00000010086;;ENSCSAP00000017989;;ENSCSAP00000001547;ENSCSAP00000001497;ENSCSAP00000018870;ENSCSAP00000018869;ENSCSAP00000002202;ENSCSAP00000018713;ENSCSAP00000018704;ENSCSAP00000002211;ENSCSAP00000002767;ENSCSAP00000002768;;ENSCSAP00000004616;ENSCSAP00000015886;ENSCSAP00000015887;ENSCSAP00000004820;ENSCSAP00000004815;ENSCSAP00000017661;ENSCSAP00000012515;;ENSCSAP00000009161;ENSCSAP00000006182;ENSCSAP00000006202;ENSCSAP00000019234;ENSCSAP00000019233;ENSCSAP00000008319;;;ENSCSAP00000003891;;ENSCSAP00000001340;ENSCSAP00000008330;ENSCSAP00000008324;ENSCSAP00000015184;;ENSCSAP00000018352;;ENSCSAP00000018033;ENSCSAP00000018035;;ENSCSAP00000016105;ENSCSAP00000016351;ENSCSAP00000016352;ENSCSAP00000009071;ENSCSAP00000009066;ENSCSAP00000009476;ENSCSAP00000009466;ENSCSAP00000010084;ENSCSAP00000010077;ENSCSAP00000008870;ENSCSAP00000008860;;ENSCSAP00000003901;ENSCSAP00000003590;ENSCSAP00000017709;ENSCSAP00000004208;ENSCSAP00000003646;;ENSCSAP00000002171;;;ENSCSAP00000010539;;;ENSCSAP00000005453;;;;ENSCSAP00000018830;;;;;;;;;;;ENSCSAP00000004752;;;;;ENSCSAP00000013579;;ENSCSAP00000013832;;;ENSCSAP00000006966;ENSCSAP00000006952;;;;;;;ENSCSAP00000015442;ENSCSAP00000015443;ENSCSAP00000004608;;;ENSCSAP00000017556;ENSCSAP00000006601;;ENSCSAP00000012953;ENSCSAP00000012882;;;ENSCSAP00000007375;;;ENSCSAP00000018834;;ENSCSAP00000000428;;;;ENSCSAP00000015051;;;;;;;;;;;;ENSCSAP00000010860;;
Mammalia;Primates;Gorilla_gorilla;ENSGGOP00000011232;ENSGGOP00000011227;ENSGGOP00000026822;ENSGGOP00000027353;ENSGGOP00000013632;ENSGGOP00000008372;ENSGGOP00000000844;ENSGGOP00000006595;ENSGGOP00000000494;ENSGGOP00000005239;ENSGGOP00000017797;ENSGGOP00000002983;ENSGGOP00000001472;ENSGGOP00000022682;ENSGGOP00000011093;ENSGGOP00000013643;ENSGGOP00000026463;;ENSGGOP00000008894;ENSGGOP00000032882;ENSGGOP00000020680;ENSGGOP00000001433;ENSGGOP00000006527;ENSGGOP00000013438;ENSGGOP00000002937;ENSGGOP00000003666;;ENSGGOP00000009727;ENSGGOP00000007774;ENSGGOP00000005200;ENSGGOP00000007305;ENSGGOP00000016106;ENSGGOP00000009506;ENSGGOP00000004902;ENSGGOP00000007606;ENSGGOP00000016421;ENSGGOP00000001645;ENSGGOP00000013304;ENSGGOP00000006054;ENSGGOP00000008550;ENSGGOP00000049985;ENSGGOP00000000740;ENSGGOP00000013023;ENSGGOP00000013026;ENSGGOP00000027760;ENSGGOP00000004486;;ENSGGOP00000043736;ENSGGOP00000051681;;ENSGGOP00000028595;ENSGGOP00000041403;;ENSGGOP00000050783;;;ENSGGOP00000019972;;ENSGGOP00000012076;ENSGGOP00000012089;ENSGGOP00000036865;ENSGGOP00000050160;ENSGGOP00000012874;ENSGGOP00000000426;ENSGGOP00000015530;ENSGGOP00000000859;ENSGGOP00000024639;ENSGGOP00000017667;ENSGGOP00000025186;ENSGGOP00000017822;ENSGGOP00000011427;ENSGGOP00000011437;ENSGGOP00000021766;ENSGGOP00000028047;ENSGGOP00000013628;ENSGGOP00000013645;;ENSGGOP00000012889;ENSGGOP00000017412;ENSGGOP00000018096;ENSGGOP00000001258;ENSGGOP00000001261;ENSGGOP00000017051;ENSGGOP00000023792;ENSGGOP00000001782;ENSGGOP00000037277;;ENSGGOP00000015334;ENSGGOP00000049885;ENSGGOP00000046014;ENSGGOP00000013746;ENSGGOP00000019652;;ENSGGOP00000012739;ENSGGOP00000011559;ENSGGOP00000018738;ENSGGOP00000008735;ENSGGOP00000000201;ENSGGOP00000023128;ENSGGOP00000037846;;ENSGGOP00000004178;ENSGGOP00000024861;ENSGGOP00000025742;ENSGGOP00000003834;ENSGGOP00000024233;;;;;ENSGGOP00000010276;;;ENSGGOP00000040788;;;;ENSGGOP00000016132;;;;;;;;;;;ENSGGOP00000023492;;;;;ENSGGOP00000012371;;ENSGGOP00000025320;;;ENSGGOP00000005410;ENSGGOP00000023935;;;;;;;ENSGGOP00000006548;ENSGGOP00000034270;ENSGGOP00000009248;;;ENSGGOP00000007537;ENSGGOP00000020801;;ENSGGOP00000002166;ENSGGOP00000008050;;;ENSGGOP00000012005;;;ENSGGOP00000011443;;ENSGGOP00000038439;;;;ENSGGOP00000016492;;;;;;;;;;;;ENSGGOP00000026607;;
