Classes;Orders;Species;0A;0B;1A;1B;2A;2B;3A;3B;4A;4B;5A;5B;6A;6B;7A;7B;8A;8B;9A;9B;10A;10B;11A;11B;12A;12B;13A;13B;14A;14B;15A;15B;16A;16B;17A;17B;18A;18B;19A;19B;20A;20B;21A;21B;22A;22B;23A;23B;24A;24B;25A;25B;26A;26B;27A;27B;28A;28B;29A;29B;30A;30B;31A;31B;32A;32B;33A;33B;34A;34B;35A;35B;36A;36B;37A;37B;38A;38B;39A;39B;40A;40B;41A;41B;42A;42B;43A;43B;44A;44B;45A;45B;46A;46B;47A;47B;48A;48B;49A;49B;50A;50B;51A;51B;52A;52B;53A;53B;54A;54B;55A;55B;56A;56B;57A;57B;58A;58B;59A;59B;60A;60B;61A;61B;62A;62B;63A;63B;64A;64B;65A;65B;66A;66B;67A;67B;68A;68B;69A;69B;70A;70B;71A;71B;72A;72B;73A;73B;74A;74B;75A;75B;76A;76B;77A;77B;78A;78B;79A;79B;80A;80B;81A;81B;82A;82B;83A;83B;84A;84B;85A;85B;86A;86B;87A;87B;88A;88B;89A;89B;90A;90B;91A;91B;92A;92B;93A;93B;94A;94B;95A;95B;96A;96B;97A;97B;98A;98B;99A;99B;100A;100B;101A;101B;102A;102B;103A;103B;104A;104B;105A;105B;106A;106B;107A;107B;108A;108B;109A;109B;110A;110B
Mammalia;Cingulata;Dasypus_novemcinctus;;;;;ENSDNOP00000017795;ENSDNOP00000010868;;;ENSDNOP00000027136;ENSDNOP00000026749;;ENSDNOP00000029249;ENSDNOP00000018457;ENSDNOP00000031517;ENSDNOP00000009746;ENSDNOP00000034093;ENSDNOP00000001499;ENSDNOP00000023894;;ENSDNOP00000020408;;ENSDNOP00000004750;;ENSDNOP00000021248;;ENSDNOP00000019161;;ENSDNOP00000013009;ENSDNOP00000022566;ENSDNOP00000021033;ENSDNOP00000031640;ENSDNOP00000030365;ENSDNOP00000005832;ENSDNOP00000009453;ENSDNOP00000006732;ENSDNOP00000006744;ENSDNOP00000009899;ENSDNOP00000034121;ENSDNOP00000011739;ENSDNOP00000011745;ENSDNOP00000019370;ENSDNOP00000027902;ENSDNOP00000033972;ENSDNOP00000024473;ENSDNOP00000032145;ENSDNOP00000023745;;ENSDNOP00000025522;ENSDNOP00000029069;ENSDNOP00000018258;ENSDNOP00000032335;;;ENSDNOP00000033729;;;ENSDNOP00000024138;ENSDNOP00000015974;ENSDNOP00000020584;ENSDNOP00000023778;;ENSDNOP00000021164;ENSDNOP00000034032;ENSDNOP00000023773;ENSDNOP00000030599;ENSDNOP00000026797;ENSDNOP00000003682;;ENSDNOP00000012727;ENSDNOP00000034176;;;;ENSDNOP00000035111;ENSDNOP00000020609;ENSDNOP00000023490;;ENSDNOP00000014447;ENSDNOP00000028412;;ENSDNOP00000013534;ENSDNOP00000019088;ENSDNOP00000017492;;ENSDNOP00000022969;ENSDNOP00000023207;;ENSDNOP00000015984;ENSDNOP00000029570;ENSDNOP00000022557;ENSDNOP00000031638;ENSDNOP00000008230;ENSDNOP00000030786;ENSDNOP00000020823;ENSDNOP00000025727;ENSDNOP00000002815;;ENSDNOP00000022286;ENSDNOP00000026692;ENSDNOP00000024848;;ENSDNOP00000027365;;ENSDNOP00000018839;;ENSDNOP00000016117;ENSDNOP00000020143;ENSDNOP00000001131;ENSDNOP00000027391;ENSDNOP00000028987;ENSDNOP00000032793;;;;;;;ENSDNOP00000026801;;;;ENSDNOP00000017134;ENSDNOP00000012301;;ENSDNOP00000017845;ENSDNOP00000033273;ENSDNOP00000033198;;ENSDNOP00000031523;ENSDNOP00000027600;ENSDNOP00000012529;ENSDNOP00000006991;;;ENSDNOP00000016149;ENSDNOP00000002293;ENSDNOP00000012255;ENSDNOP00000012834;ENSDNOP00000010166;ENSDNOP00000016663;;ENSDNOP00000007551;ENSDNOP00000012497;ENSDNOP00000030903;;ENSDNOP00000022604;;;;;ENSDNOP00000000500;;ENSDNOP00000020009;ENSDNOP00000010827;;;ENSDNOP00000013471;ENSDNOP00000002830;;;;;;;ENSDNOP00000013034;ENSDNOP00000020761;ENSDNOP00000029622;ENSDNOP00000005814;ENSDNOP00000020975;ENSDNOP00000016146;;;ENSDNOP00000007195;ENSDNOP00000025009;;;;;;;;;;;;;ENSDNOP00000025199;;;;;;;;;ENSDNOP00000034097;ENSDNOP00000018774;;;ENSDNOP00000028372;ENSDNOP00000024182;;;ENSDNOP00000017939;;;;;ENSDNOP00000016673;;;;ENSDNOP00000004451;;;ENSDNOP00000027995;;;;;;
Mammalia;Dasyuromorphia;Sarcophilus_harrisii;;;;;ENSSHAP00000006113;ENSSHAP00000006465;;ENSSHAP00000007052;;ENSSHAP00000009363;ENSSHAP00000022388;;;ENSSHAP00000008606;ENSSHAP00000022205;ENSSHAP00000022184;ENSSHAP00000010887;ENSSHAP00000010645;ENSSHAP00000004801;;;;;ENSSHAP00000019593;ENSSHAP00000013775;;;;ENSSHAP00000000262;ENSSHAP00000012631;;;ENSSHAP00000016689;ENSSHAP00000013881;ENSSHAP00000013322;ENSSHAP00000004354;ENSSHAP00000002851;;ENSSHAP00000019434;;;ENSSHAP00000005240;;;;;;;;;ENSSHAP00000000203;ENSSHAP00000003145;;ENSSHAP00000000126;;;;;ENSSHAP00000007899;ENSSHAP00000008163;;;ENSSHAP00000011072;ENSSHAP00000010987;ENSSHAP00000004468;ENSSHAP00000000778;;ENSSHAP00000001653;ENSSHAP00000005951;ENSSHAP00000006223;;;;ENSSHAP00000001117;ENSSHAP00000003289;;;ENSSHAP00000017456;;ENSSHAP00000021493;ENSSHAP00000009136;ENSSHAP00000011696;;ENSSHAP00000019499;ENSSHAP00000001633;ENSSHAP00000001281;;ENSSHAP00000004516;;ENSSHAP00000007669;ENSSHAP00000015810;ENSSHAP00000015741;ENSSHAP00000017688;ENSSHAP00000017524;ENSSHAP00000014395;ENSSHAP00000014578;ENSSHAP00000022099;;ENSSHAP00000018085;;;ENSSHAP00000015549;;ENSSHAP00000002935;;ENSSHAP00000000940;;ENSSHAP00000004406;ENSSHAP00000014889;ENSSHAP00000015188;;;;;;;;;;;;;ENSSHAP00000007330;;ENSSHAP00000016356;ENSSHAP00000016442;;;;ENSSHAP00000011761;ENSSHAP00000021013;ENSSHAP00000021188;;;ENSSHAP00000017949;ENSSHAP00000017273;ENSSHAP00000019592;ENSSHAP00000019245;ENSSHAP00000012634;ENSSHAP00000012969;;ENSSHAP00000007192;ENSSHAP00000003868;ENSSHAP00000008793;;ENSSHAP00000004309;;;;;ENSSHAP00000010634;;ENSSHAP00000022377;ENSSHAP00000022385;;;ENSSHAP00000019720;ENSSHAP00000019539;;;;;;;ENSSHAP00000003314;;ENSSHAP00000003967;ENSSHAP00000007604;ENSSHAP00000012257;ENSSHAP00000012377;;;ENSSHAP00000021262;ENSSHAP00000021477;;;;;;;;;;;;;ENSSHAP00000003114;;;;;;;;;ENSSHAP00000006475;ENSSHAP00000017097;;ENSSHAP00000011853;;ENSSHAP00000007217;;;ENSSHAP00000002051;;;;;ENSSHAP00000008403;;ENSSHAP00000002384;ENSSHAP00000005928;;ENSSHAP00000019041;;ENSSHAP00000001055;;;;;;
Mammalia;Didelphimorphia;Monodelphis_domestica;;;;;ENSMODP00000021370;ENSMODP00000021369;ENSMODP00000013143;ENSMODP00000034536;;ENSMODP00000012850;ENSMODP00000003571;;ENSMODP00000007738;ENSMODP00000007762;ENSMODP00000000677;ENSMODP00000028394;ENSMODP00000052255;ENSMODP00000014709;ENSMODP00000021055;;;;;ENSMODP00000008201;ENSMODP00000023015;;;;ENSMODP00000014314;ENSMODP00000032621;;;ENSMODP00000025425;ENSMODP00000025415;ENSMODP00000002065;ENSMODP00000054014;ENSMODP00000025082;;ENSMODP00000014176;ENSMODP00000014149;;ENSMODP00000042459;;;ENSMODP00000004766;;;;ENSMODP00000054026;ENSMODP00000057310;ENSMODP00000031832;ENSMODP00000019972;;ENSMODP00000055555;;;;;;ENSMODP00000042336;;;ENSMODP00000034982;ENSMODP00000034984;ENSMODP00000028190;ENSMODP00000024589;;ENSMODP00000001836;ENSMODP00000001864;ENSMODP00000038720;;;;ENSMODP00000043970;ENSMODP00000056456;;;;ENSMODP00000009405;;ENSMODP00000054466;ENSMODP00000034316;;ENSMODP00000025163;ENSMODP00000025243;ENSMODP00000025249;;ENSMODP00000051829;;ENSMODP00000038345;ENSMODP00000016898;ENSMODP00000016890;ENSMODP00000004320;ENSMODP00000004355;ENSMODP00000056310;ENSMODP00000012528;ENSMODP00000043389;;ENSMODP00000011788;ENSMODP00000011725;ENSMODP00000024372;;;ENSMODP00000021142;;ENSMODP00000018348;;ENSMODP00000018563;ENSMODP00000051823;ENSMODP00000001484;;;;;;;;;;;;;;ENSMODP00000051031;ENSMODP00000000864;ENSMODP00000000860;;;;ENSMODP00000054697;ENSMODP00000020830;ENSMODP00000020861;;;ENSMODP00000053088;ENSMODP00000006154;ENSMODP00000045734;ENSMODP00000008425;ENSMODP00000056451;ENSMODP00000018970;;ENSMODP00000033890;;ENSMODP00000009301;;ENSMODP00000033394;;;;;ENSMODP00000025667;;ENSMODP00000026581;;;;;ENSMODP00000057515;;;;;;;ENSMODP00000031792;ENSMODP00000004822;ENSMODP00000003324;ENSMODP00000042415;ENSMODP00000050332;ENSMODP00000032116;;;ENSMODP00000002554;ENSMODP00000035551;;;;;;;;;;;;;ENSMODP00000020687;;;;;;;;;;;ENSMODP00000020271;ENSMODP00000004464;;ENSMODP00000016333;;;ENSMODP00000016776;;;;;ENSMODP00000056565;;;ENSMODP00000044721;ENSMODP00000001295;;;ENSMODP00000044919;;;;ENSMODP00000049799;;
Mammalia;Diprotodontia;Notamacropus_eugenii;;;;;ENSMEUP00000002845;ENSMEUP00000002853;;ENSMEUP00000007327;;;;;ENSMEUP00000001176;ENSMEUP00000003485;ENSMEUP00000000825;ENSMEUP00000004020;ENSMEUP00000009096;ENSMEUP00000005318;ENSMEUP00000001642;;;;;ENSMEUP00000003122;ENSMEUP00000006074;;;ENSMEUP00000010474;;ENSMEUP00000012240;;;ENSMEUP00000011764;ENSMEUP00000005792;ENSMEUP00000012759;ENSMEUP00000012782;ENSMEUP00000005910;;ENSMEUP00000015019;ENSMEUP00000001601;;ENSMEUP00000004308;;;;;;;;ENSMEUP00000002931;ENSMEUP00000015322;ENSMEUP00000006429;;ENSMEUP00000008180;;;;ENSMEUP00000012054;ENSMEUP00000014677;;;;;;ENSMEUP00000005193;;ENSMEUP00000005028;;ENSMEUP00000008294;;;;;ENSMEUP00000003942;ENSMEUP00000003617;;;ENSMEUP00000005682;ENSMEUP00000013067;;ENSMEUP00000000405;ENSMEUP00000005598;;ENSMEUP00000010986;;ENSMEUP00000000971;;ENSMEUP00000010127;;ENSMEUP00000013483;ENSMEUP00000003583;ENSMEUP00000007761;ENSMEUP00000015276;ENSMEUP00000005041;ENSMEUP00000013951;ENSMEUP00000001346;ENSMEUP00000015297;;ENSMEUP00000000119;ENSMEUP00000014310;;ENSMEUP00000010179;ENSMEUP00000012552;;ENSMEUP00000006814;;;ENSMEUP00000006068;ENSMEUP00000002246;;;;;;;;;;;;;;;;;;;;;;ENSMEUP00000014207;ENSMEUP00000003351;ENSMEUP00000012583;;ENSMEUP00000010858;ENSMEUP00000007901;ENSMEUP00000003762;ENSMEUP00000013831;ENSMEUP00000005103;;;;ENSMEUP00000003867;ENSMEUP00000007428;;ENSMEUP00000014490;;;;;ENSMEUP00000005139;;ENSMEUP00000000131;ENSMEUP00000011689;;;ENSMEUP00000004339;ENSMEUP00000001260;;;;ENSMEUP00000012722;;;ENSMEUP00000008833;ENSMEUP00000003353;ENSMEUP00000015236;ENSMEUP00000009193;ENSMEUP00000011730;;;;ENSMEUP00000006184;ENSMEUP00000009321;;;;;;;;;;;;;ENSMEUP00000004365;;;;;;;;;ENSMEUP00000006974;;;ENSMEUP00000006977;;ENSMEUP00000012849;;ENSMEUP00000009182;;;;;;ENSMEUP00000012294;;;ENSMEUP00000011137;;ENSMEUP00000001702;;ENSMEUP00000012212;;;;;;
Mammalia;Diprotodontia;Phascolarctos_cinereus;;;;;ENSPCIP00000022018;ENSPCIP00000043771;;ENSPCIP00000039109;;ENSPCIP00000000857;ENSPCIP00000041855;;ENSPCIP00000014750;ENSPCIP00000014745;ENSPCIP00000008287;ENSPCIP00000008291;ENSPCIP00000002616;ENSPCIP00000002607;ENSPCIP00000002337;;;;;ENSPCIP00000040634;;;;;ENSPCIP00000013550;;;;ENSPCIP00000051846;ENSPCIP00000026755;ENSPCIP00000039594;ENSPCIP00000039593;ENSPCIP00000020689;;ENSPCIP00000025577;ENSPCIP00000028227;;ENSPCIP00000038872;;;ENSPCIP00000001270;;;;ENSPCIP00000025792;ENSPCIP00000025813;ENSPCIP00000019568;ENSPCIP00000019581;;ENSPCIP00000047555;ENSPCIP00000006650;;ENSPCIP00000022714;ENSPCIP00000022715;ENSPCIP00000010647;ENSPCIP00000010652;;;ENSPCIP00000035229;ENSPCIP00000017521;ENSPCIP00000026608;ENSPCIP00000034512;;ENSPCIP00000051645;ENSPCIP00000014936;ENSPCIP00000014942;;;;ENSPCIP00000044198;ENSPCIP00000046599;;;ENSPCIP00000013335;;ENSPCIP00000006962;ENSPCIP00000026288;ENSPCIP00000001261;;;ENSPCIP00000013842;ENSPCIP00000048956;;ENSPCIP00000051060;ENSPCIP00000020455;ENSPCIP00000020461;ENSPCIP00000015416;;ENSPCIP00000021185;ENSPCIP00000021175;ENSPCIP00000031526;ENSPCIP00000031518;ENSPCIP00000036202;;ENSPCIP00000007444;ENSPCIP00000007449;ENSPCIP00000007770;;ENSPCIP00000001154;;;ENSPCIP00000013666;;ENSPCIP00000043895;ENSPCIP00000014043;ENSPCIP00000011902;;;;;;;;;;;;;ENSPCIP00000028867;;ENSPCIP00000028917;ENSPCIP00000014704;;;;ENSPCIP00000023866;ENSPCIP00000022848;ENSPCIP00000022844;;;ENSPCIP00000022289;ENSPCIP00000021694;ENSPCIP00000026241;ENSPCIP00000005143;ENSPCIP00000044235;ENSPCIP00000015303;;ENSPCIP00000030441;ENSPCIP00000013142;ENSPCIP00000050286;;ENSPCIP00000023523;;;;;;;ENSPCIP00000006787;ENSPCIP00000004983;;;ENSPCIP00000055004;ENSPCIP00000006159;;;;;;;ENSPCIP00000019585;ENSPCIP00000001207;ENSPCIP00000000535;ENSPCIP00000037228;ENSPCIP00000020609;ENSPCIP00000020612;;;ENSPCIP00000001512;ENSPCIP00000053453;;;;;;;;;;;;;ENSPCIP00000022800;;;;;;;;;ENSPCIP00000050532;ENSPCIP00000010400;;;ENSPCIP00000038822;ENSPCIP00000018652;;;ENSPCIP00000014532;;;;;ENSPCIP00000036088;;ENSPCIP00000021802;;;ENSPCIP00000033584;;ENSPCIP00000014529;;;;;;
Mammalia;Diprotodontia;Vombatus_ursinus;;;;;;ENSVURP00010020550;;ENSVURP00010017714;;ENSVURP00010003358;ENSVURP00010005117;;ENSVURP00010011132;ENSVURP00010011151;ENSVURP00010021764;ENSVURP00010021704;ENSVURP00010015710;ENSVURP00010015718;ENSVURP00010000854;;;;;ENSVURP00010020884;ENSVURP00010010281;;;ENSVURP00010001448;ENSVURP00010028576;ENSVURP00010028580;;;ENSVURP00010002669;ENSVURP00010002556;ENSVURP00010024243;ENSVURP00010024252;ENSVURP00010011224;;ENSVURP00010022597;ENSVURP00010022542;;ENSVURP00010008000;;;ENSVURP00010015356;;;;ENSVURP00010028531;ENSVURP00010028538;ENSVURP00010000883;ENSVURP00010001030;;ENSVURP00010025018;ENSVURP00010021807;;ENSVURP00010005137;ENSVURP00010005146;ENSVURP00010009498;ENSVURP00010009509;;;ENSVURP00010021920;ENSVURP00010021937;ENSVURP00010013102;;ENSVURP00010019056;;ENSVURP00010019085;;;;ENSVURP00010021149;ENSVURP00010021162;ENSVURP00010013773;;;ENSVURP00010007476;;ENSVURP00010006500;ENSVURP00010015573;ENSVURP00010015538;;ENSVURP00010008119;ENSVURP00010002253;ENSVURP00010021020;;ENSVURP00010004648;ENSVURP00010007898;ENSVURP00010007885;ENSVURP00010006400;ENSVURP00010006447;ENSVURP00010006156;ENSVURP00010006183;ENSVURP00010030593;ENSVURP00010030590;;ENSVURP00010020631;ENSVURP00010012893;ENSVURP00010012827;;ENSVURP00010009193;;ENSVURP00010015627;ENSVURP00010030123;;;ENSVURP00010019736;ENSVURP00010032169;ENSVURP00010032158;;;ENSVURP00010026796;;;;;;;;;;ENSVURP00010005964;;ENSVURP00010005525;ENSVURP00010005514;;;;;ENSVURP00010019074;ENSVURP00010019051;;;ENSVURP00010021631;ENSVURP00010012258;ENSVURP00010023792;ENSVURP00010025000;ENSVURP00010004062;ENSVURP00010004027;;ENSVURP00010025972;ENSVURP00010003733;ENSVURP00010003681;;ENSVURP00010003387;;;;;ENSVURP00010030813;;ENSVURP00010014355;ENSVURP00010014327;;;ENSVURP00010006169;;;;;;;;ENSVURP00010014052;ENSVURP00010025994;ENSVURP00010015084;ENSVURP00010015245;ENSVURP00010021331;;;;ENSVURP00010016027;ENSVURP00010016018;;;;;;;;;;;;;ENSVURP00010000773;;;;;;;;;ENSVURP00010003618;ENSVURP00010032061;;ENSVURP00010001725;;ENSVURP00010030224;;;ENSVURP00010005942;;;;;ENSVURP00010007861;;ENSVURP00010025822;ENSVURP00010025352;;ENSVURP00010017493;;ENSVURP00010003019;;;;;;
Mammalia;Eulipotyphla;Erinaceus_europaeus;;;;;;ENSEEUP00000009741;;ENSEEUP00000010039;ENSEEUP00000004864;ENSEEUP00000012108;;;ENSEEUP00000007906;ENSEEUP00000006458;ENSEEUP00000009451;;ENSEEUP00000005809;ENSEEUP00000013948;ENSEEUP00000010954;;;;ENSEEUP00000006352;ENSEEUP00000012698;ENSEEUP00000008987;;;;;ENSEEUP00000008863;;;ENSEEUP00000012033;ENSEEUP00000002947;ENSEEUP00000012769;ENSEEUP00000012806;ENSEEUP00000013609;ENSEEUP00000002713;ENSEEUP00000004012;ENSEEUP00000004132;ENSEEUP00000009824;ENSEEUP00000005330;ENSEEUP00000007586;;;ENSEEUP00000008348;ENSEEUP00000008097;ENSEEUP00000013781;ENSEEUP00000012675;;ENSEEUP00000000689;ENSEEUP00000000693;;ENSEEUP00000005778;;;;ENSEEUP00000007090;;ENSEEUP00000010639;;;;;;;;ENSEEUP00000012333;ENSEEUP00000010476;ENSEEUP00000012026;;;ENSEEUP00000007003;;ENSEEUP00000012378;ENSEEUP00000013233;ENSEEUP00000005555;;;ENSEEUP00000002804;ENSEEUP00000011980;ENSEEUP00000012962;;ENSEEUP00000010183;;;;ENSEEUP00000002975;;ENSEEUP00000010836;ENSEEUP00000009318;ENSEEUP00000009337;ENSEEUP00000009009;;ENSEEUP00000014313;ENSEEUP00000003807;;ENSEEUP00000007676;;;;;ENSEEUP00000007284;;ENSEEUP00000003558;;ENSEEUP00000001140;ENSEEUP00000003341;;;;;;;;;;;;;ENSEEUP00000013522;;ENSEEUP00000009471;;;ENSEEUP00000002685;;;ENSEEUP00000001847;;ENSEEUP00000008632;ENSEEUP00000009974;;;ENSEEUP00000001051;ENSEEUP00000014364;ENSEEUP00000002840;;ENSEEUP00000007525;ENSEEUP00000006944;;ENSEEUP00000011231;;ENSEEUP00000004395;;ENSEEUP00000005399;;;;;ENSEEUP00000013456;;ENSEEUP00000010784;ENSEEUP00000000268;;;ENSEEUP00000009448;ENSEEUP00000010694;;;;;;;;ENSEEUP00000001045;ENSEEUP00000003179;ENSEEUP00000012982;;ENSEEUP00000010218;;;ENSEEUP00000013437;ENSEEUP00000004668;;;;;;;;;;;;;ENSEEUP00000002725;;;;;;;;;;;;;;ENSEEUP00000008424;;;;;;;;ENSEEUP00000006926;;ENSEEUP00000003103;;ENSEEUP00000009232;;;ENSEEUP00000009472;;;;;;
Mammalia;Eulipotyphla;Sorex_araneus;;;;;ENSSARP00000001915;;;ENSSARP00000001057;;ENSSARP00000003461;;;;ENSSARP00000002170;;;;ENSSARP00000006923;ENSSARP00000009702;;;;ENSSARP00000011647;ENSSARP00000000951;ENSSARP00000004517;;;;ENSSARP00000008527;;ENSSARP00000000373;;ENSSARP00000005033;ENSSARP00000002999;ENSSARP00000004489;ENSSARP00000004528;ENSSARP00000008022;ENSSARP00000010087;ENSSARP00000006710;ENSSARP00000006721;;;;;;;;;;;ENSSARP00000008237;ENSSARP00000005365;;ENSSARP00000004987;;;;;;;;;;ENSSARP00000009454;;;;ENSSARP00000004398;ENSSARP00000006511;ENSSARP00000011876;;;ENSSARP00000011785;;ENSSARP00000001493;;ENSSARP00000012442;ENSSARP00000003557;;ENSSARP00000005687;;ENSSARP00000002928;;;;ENSSARP00000011157;;ENSSARP00000001993;;ENSSARP00000009304;ENSSARP00000001439;ENSSARP00000001452;;;ENSSARP00000001127;ENSSARP00000004992;;;ENSSARP00000006819;ENSSARP00000000273;;;;;ENSSARP00000005454;;;ENSSARP00000012863;ENSSARP00000000603;ENSSARP00000009494;;;;;;;;;;;;;ENSSARP00000007338;;;;;;;;ENSSARP00000003217;;;;;;ENSSARP00000002357;ENSSARP00000001163;ENSSARP00000007230;ENSSARP00000010865;;ENSSARP00000011843;;;;;;;;;;;;ENSSARP00000009124;;;ENSSARP00000003086;ENSSARP00000003047;;;;;;;ENSSARP00000006983;;ENSSARP00000001508;ENSSARP00000011426;;;;;ENSSARP00000004128;ENSSARP00000002010;;;;;;;;;;;;;ENSSARP00000011777;;;;;;;;;ENSSARP00000005123;;;ENSSARP00000011370;;ENSSARP00000010839;;;;;;;;ENSSARP00000009474;;;ENSSARP00000010666;;ENSSARP00000008569;;;;;;;;ENSSARP00000007908
Mammalia;Hyracoidea;Procavia_capensis;;;;;ENSPCAP00000012535;ENSPCAP00000012626;;;ENSPCAP00000014077;;;;ENSPCAP00000006128;ENSPCAP00000006202;ENSPCAP00000001228;ENSPCAP00000001283;ENSPCAP00000001122;ENSPCAP00000012887;;;;ENSPCAP00000012463;ENSPCAP00000014399;ENSPCAP00000014470;;;;ENSPCAP00000007834;ENSPCAP00000004057;ENSPCAP00000008657;;;ENSPCAP00000000074;ENSPCAP00000004313;ENSPCAP00000006298;ENSPCAP00000006342;ENSPCAP00000007717;ENSPCAP00000004740;ENSPCAP00000001404;ENSPCAP00000001454;ENSPCAP00000009241;ENSPCAP00000007633;;;;ENSPCAP00000007577;ENSPCAP00000001764;;;;ENSPCAP00000002923;ENSPCAP00000002958;;ENSPCAP00000011364;;;ENSPCAP00000007216;;ENSPCAP00000007121;ENSPCAP00000000102;ENSPCAP00000004240;;;;;ENSPCAP00000009623;ENSPCAP00000015390;;ENSPCAP00000003601;ENSPCAP00000003637;;ENSPCAP00000012555;;;ENSPCAP00000001004;ENSPCAP00000001024;;ENSPCAP00000010353;;;ENSPCAP00000005292;ENSPCAP00000001799;;;;ENSPCAP00000011115;;ENSPCAP00000009207;;ENSPCAP00000014856;ENSPCAP00000000083;ENSPCAP00000000086;ENSPCAP00000005148;ENSPCAP00000005203;ENSPCAP00000008668;ENSPCAP00000008701;;ENSPCAP00000015306;ENSPCAP00000000680;ENSPCAP00000000718;ENSPCAP00000007690;;;;;ENSPCAP00000007071;ENSPCAP00000015560;ENSPCAP00000009493;ENSPCAP00000005991;ENSPCAP00000006081;ENSPCAP00000005724;;;;ENSPCAP00000012430;;;ENSPCAP00000003709;;;;;ENSPCAP00000006142;;ENSPCAP00000006359;;;;;;ENSPCAP00000005576;ENSPCAP00000004526;;;ENSPCAP00000015840;ENSPCAP00000006432;ENSPCAP00000013534;ENSPCAP00000012803;ENSPCAP00000001244;ENSPCAP00000006559;;ENSPCAP00000005689;ENSPCAP00000016042;ENSPCAP00000004032;;ENSPCAP00000006497;;;;;ENSPCAP00000006273;;ENSPCAP00000006266;ENSPCAP00000005260;;;ENSPCAP00000003405;ENSPCAP00000002749;;;;;;;;ENSPCAP00000005001;ENSPCAP00000010295;ENSPCAP00000009060;;ENSPCAP00000014567;;;ENSPCAP00000008189;ENSPCAP00000008228;;;;;;;;;;;;;ENSPCAP00000015681;ENSPCAP00000010425;;;;;;;;ENSPCAP00000006182;ENSPCAP00000000933;;ENSPCAP00000015906;;ENSPCAP00000007479;;;ENSPCAP00000000881;;;;;ENSPCAP00000006575;;ENSPCAP00000002543;;;ENSPCAP00000012028;;ENSPCAP00000013839;;;;;;
Mammalia;Lagomorpha;Ochotona_princeps;;;;;ENSOPRP00000013538;ENSOPRP00000013572;;;;;;ENSOPRP00000005785;ENSOPRP00000011936;ENSOPRP00000011963;ENSOPRP00000015298;ENSOPRP00000015308;ENSOPRP00000002500;ENSOPRP00000011651;ENSOPRP00000012250;ENSOPRP00000012257;;ENSOPRP00000011763;ENSOPRP00000010207;ENSOPRP00000011616;ENSOPRP00000004455;;;;ENSOPRP00000012779;ENSOPRP00000010336;;;ENSOPRP00000005863;;ENSOPRP00000006661;ENSOPRP00000006674;ENSOPRP00000014520;ENSOPRP00000014555;;;ENSOPRP00000005671;ENSOPRP00000005681;ENSOPRP00000015655;ENSOPRP00000008938;;;;;;ENSOPRP00000005531;ENSOPRP00000005794;ENSOPRP00000005810;;ENSOPRP00000013962;;;;;;;;ENSOPRP00000001480;ENSOPRP00000012304;;;;ENSOPRP00000002095;;;ENSOPRP00000003619;;;;ENSOPRP00000001578;;;ENSOPRP00000005912;ENSOPRP00000001432;;ENSOPRP00000002340;ENSOPRP00000009007;ENSOPRP00000009020;;ENSOPRP00000002368;;ENSOPRP00000009651;;ENSOPRP00000016310;;ENSOPRP00000005850;ENSOPRP00000015261;;ENSOPRP00000004229;ENSOPRP00000004251;ENSOPRP00000004278;ENSOPRP00000004293;;ENSOPRP00000001775;ENSOPRP00000005439;ENSOPRP00000009583;;;;;ENSOPRP00000006319;;ENSOPRP00000007608;ENSOPRP00000007636;ENSOPRP00000010528;ENSOPRP00000010553;ENSOPRP00000009702;;;;;;;;ENSOPRP00000009650;;ENSOPRP00000000857;ENSOPRP00000000866;ENSOPRP00000013597;;ENSOPRP00000012915;ENSOPRP00000012918;;;;;ENSOPRP00000001723;ENSOPRP00000001762;;;ENSOPRP00000006476;ENSOPRP00000014144;ENSOPRP00000013860;ENSOPRP00000007036;;;;;;ENSOPRP00000009741;;ENSOPRP00000009850;;;;;ENSOPRP00000006414;;ENSOPRP00000012609;ENSOPRP00000008847;;;ENSOPRP00000005572;ENSOPRP00000005562;;;;;;;ENSOPRP00000005799;ENSOPRP00000009177;ENSOPRP00000000229;ENSOPRP00000013495;;ENSOPRP00000011169;;;ENSOPRP00000010327;;;;;;;;;;;;;;ENSOPRP00000014283;ENSOPRP00000007490;;;;;;;;ENSOPRP00000013664;ENSOPRP00000004074;;ENSOPRP00000015869;;ENSOPRP00000014297;;;ENSOPRP00000011626;;;;;ENSOPRP00000002455;;ENSOPRP00000013357;;ENSOPRP00000010453;;;ENSOPRP00000004962;;;;;;
